id_offre;titre_poste;entreprise;domaine;localisation;type_contrat;niveau_experience;competences_requises;description;source;lien_offre;date_publication;statut_offre;score_min_notification
O001;Developpeur Web Junior;Atlas Services;Digital & IT;Casablanca;CDI;Debutant;Python|JavaScript|React|HTML;"Nous recherchons un profil Developpeur Web Junior avec maitrise de Python ; JavaScript ; React ; HTML. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/1;2026-01-10;A valider;70
O002;Ambulancier;Maroc Digital Solutions;Sante;Oujda;CDD;0-1 an;Soins de base|Hygiene hospitaliere|Prise des constantes|Dossier patient;"Nous recherchons un profil Ambulancier avec maitrise de Soins de base ; Hygiene hospitaliere ; Prise des constantes ; Dossier patient. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/2;2026-02-11;Active;70
O003;Operateur Agricole;Clinique Al Amal;Agriculture;Agadir;Stage pre-embauche;1-2 ans;Suivi cultures|Agriculture de precision|Capteurs agricoles|SIG;"Nous recherchons un profil Operateur Agricole avec maitrise de Suivi cultures ; Agriculture de precision ; Capteurs agricoles ; SIG. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/3;2026-03-12;Active;70
O004;Assistant Controle Qualite PAM;GreenAgri Maroc;Agro-industrie;Meknes;Stage;Junior;HACCP|Plantes medicinales|Sechage|Traçabilite;"Nous recherchons un profil Assistant Controle Qualite PAM avec maitrise de HACCP ; Plantes medicinales ; Sechage ; Traçabilite. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/4;2026-04-13;Active;70
O005;Technicien Diagnostic Automobile;AutoTech Industrie;Automobile;Tanger;Interim;Debutant;Maintenance vehicule|Controle qualite|Lean manufacturing|Diagnostic automobile;"Nous recherchons un profil Technicien Diagnostic Automobile avec maitrise de Maintenance vehicule ; Controle qualite ; Lean manufacturing ; Diagnostic automobile. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/5;2026-05-14;Active;70
O006;Educateur Petite Enfance;Hotel Majestic;Education;Marrakech;CDI;0-1 an;Inclusion|Animation pedagogique|Psychologie enfant|Communication parentale;"Nous recherchons un profil Educateur Petite Enfance avec maitrise de Inclusion ; Animation pedagogique ; Psychologie enfant ; Communication parentale. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/6;2026-06-15;Active;70
O007;Technicien Chantier;BTP Nord;BTP;Kenitra;CDD;1-2 ans;Securite chantier|Lecture plans|AutoCAD|Metre;"Nous recherchons un profil Technicien Chantier avec maitrise de Securite chantier ; Lecture plans ; AutoCAD ; Metre. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/7;2026-01-16;A valider;70
O008;Technicien Genie Thermique;Energia Plus;Electricite & Energie;Rabat;Stage pre-embauche;Junior;Electricite industrielle|Automatisme|Schema electrique|Maintenance electrique;"Nous recherchons un profil Technicien Genie Thermique avec maitrise de Electricite industrielle ; Automatisme ; Schema electrique ; Maintenance electrique. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/8;2026-02-17;Active;70
O009;Assistant Production Industrielle;QHSE Consulting;Industrie;Fes;Stage;Debutant;Production|Lean manufacturing|Gestion stock|5S;"Nous recherchons un profil Assistant Production Industrielle avec maitrise de Production ; Lean manufacturing ; Gestion stock ; 5S. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/9;2026-03-18;Active;70
O010;Assistant Gestion Entreprise;AgroValor;Gestion;Nador;Interim;0-1 an;Excel|Gestion administrative|Facturation|Paie;"Nous recherchons un profil Assistant Gestion Entreprise avec maitrise de Excel ; Gestion administrative ; Facturation ; Paie. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/10;2026-04-19;Active;70
O011;Infographiste Prepresse;Oujda Business Center;Design & Communication;Casablanca;CDI;1-2 ans;Mise en page|Prepress|Branding|Impression;"Nous recherchons un profil Infographiste Prepresse avec maitrise de Mise en page ; Prepress ; Branding ; Impression. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/11;2026-05-20;Active;70
O012;Serveur Arts de Table;Smart Infra Maroc;Tourisme & Hotellerie;Oujda;CDD;Junior;HACCP|Cuisine|Arts de table|Housekeeping;"Nous recherchons un profil Serveur Arts de Table avec maitrise de HACCP ; Cuisine ; Arts de table ; Housekeeping. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/12;2026-06-21;Active;70
O013;Assistant QHSE;Atlas Services;QHSE;Agadir;Stage pre-embauche;Debutant;Analyse risques|Securite travail|Environnement|HACCP;"Nous recherchons un profil Assistant QHSE avec maitrise de Analyse risques ; Securite travail ; Environnement ; HACCP. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/13;2026-01-22;A valider;70
O014;Technicien Support IT;Maroc Digital Solutions;Digital & IT;Meknes;Stage;0-1 an;JavaScript|React|HTML|CSS;"Nous recherchons un profil Technicien Support IT avec maitrise de JavaScript ; React ; HTML ; CSS. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/14;2026-02-23;Active;70
O015;Aide-soignant;Clinique Al Amal;Sante;Tanger;Interim;1-2 ans;Brancardage|Urgences|Premiers secours|Soins de base;"Nous recherchons un profil Aide-soignant avec maitrise de Brancardage ; Urgences ; Premiers secours ; Soins de base. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/15;2026-03-24;Active;70
O016;Technicien Agricole;GreenAgri Maroc;Agriculture;Marrakech;CDI;Junior;Gestion exploitation|Irrigation|Fertilisation|Suivi cultures;"Nous recherchons un profil Technicien Agricole avec maitrise de Gestion exploitation ; Irrigation ; Fertilisation ; Suivi cultures. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/16;2026-04-25;Active;70
O017;Technicien Valorisation Plantes;AutoTech Industrie;Agro-industrie;Kenitra;CDD;Debutant;Conditionnement|HACCP|Plantes medicinales|Sechage;"Nous recherchons un profil Technicien Valorisation Plantes avec maitrise de Conditionnement ; HACCP ; Plantes medicinales ; Sechage. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/17;2026-05-26;Active;70
