id_filiere;niveau_formation;niveau_acces;nom_filiere;domaine;description;competences_cibles;types_postes
F001;Technicien Specialise;niveau Bac;Management hotelier;Tourisme & Hotellerie;Formation Technicien Specialise orientee vers tourisme & hotellerie avec competences pratiques et insertion professionnelle.;Reception|Gestion reservations|HACCP|Cuisine|Arts de table|Housekeeping;Assistant Tourisme & Hotellerie|Technicien Management hotelier|Operateur specialise|Junior Tourisme & Hotellerie
F002;Technicien Specialise;niveau Bac;Agriculture de Precision;Agriculture;Formation Technicien Specialise orientee vers agriculture avec competences pratiques et insertion professionnelle.;Suivi cultures|Agriculture de precision|Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;Assistant Agriculture|Technicien Agriculture de Precision|Operateur specialise|Junior Agriculture
F003;Technicien Specialise;niveau Bac;Auxiliaire de Soins;Sante;Formation Technicien Specialise orientee vers sante avec competences pratiques et insertion professionnelle.;Prise des constantes|Dossier patient|Communication patient|Brancardage|Urgences|Premiers secours;Assistant Sante|Technicien Auxiliaire de Soins|Operateur specialise|Junior Sante
F004;Technicien Specialise;niveau Bac;Developpement Digital;Digital & IT;Formation Technicien Specialise orientee vers digital & it avec competences pratiques et insertion professionnelle.;CSS|SQL|Git|Linux|Reseaux|Support IT;Assistant Digital & IT|Technicien Developpement Digital|Operateur specialise|Junior Digital & IT
F005;Technicien Specialise;niveau Bac;Diagnostic et Electronique Embarquee Automobile;Automobile;Formation Technicien Specialise orientee vers automobile avec competences pratiques et insertion professionnelle.;Controle qualite|Lean manufacturing|Diagnostic automobile|Electronique embarquee|OBD|CAN Bus;Assistant Automobile|Technicien Diagnostic et Electronique Embarquee Automobile|Operateur specialise|Junior Automobile
F006;Technicien Specialise;niveau Bac;Educateur Specialise dans la Petite Enfance;Education;Formation Technicien Specialise orientee vers education avec competences pratiques et insertion professionnelle.;Animation pedagogique|Psychologie enfant|Communication parentale|Accompagnement enfant|Activites prescolaires|Inclusion;Assistant Education|Technicien Educateur Specialise dans la Petite Enfance|Operateur specialise|Junior Education
F007;Technicien Specialise;niveau Bac;Genie Civil;BTP;Formation Technicien Specialise orientee vers btp avec competences pratiques et insertion professionnelle.;Lecture plans|AutoCAD|Metre|Suivi chantier|Beton arme|Topographie;Assistant BTP|Technicien Genie Civil|Operateur specialise|Junior BTP
F008;Technicien Specialise;niveau Bac;Genie electrique;Electricite & Energie;Formation Technicien Specialise orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Automatisme|Schema electrique|Maintenance electrique|Energie solaire|Climatisation|Froid industriel;Assistant Electricite & Energie|Technicien Genie electrique|Operateur specialise|Junior Electricite & Energie
F009;Technicien Specialise;niveau Bac;Genie Energetique;Electricite & Energie;Formation Technicien Specialise orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Schema electrique|Maintenance electrique|Energie solaire|Climatisation|Froid industriel|Electricite industrielle;Assistant Electricite & Energie|Technicien Genie Energetique|Operateur specialise|Junior Electricite & Energie
F010;Technicien Specialise;niveau Bac;Genie Industriel;Industrie;Formation Technicien Specialise orientee vers industrie avec competences pratiques et insertion professionnelle.;Gestion stock|5S|Controle qualite|Process industriel|Maintenance industrielle|Production;Assistant Industrie|Technicien Genie Industriel|Operateur specialise|Junior Industrie
