id_matching;id_laureat;id_offre;score_competences;score_cv_offre;score_localisation;score_experience;score_disponibilite;score_final;decision;competences_communes;competences_manquantes;date_matching
M001;L001;O012;70;55;100;70;100;74;Recommande;HACCP|Cuisine;Arts de table|Housekeeping;2026-06-20
M002;L002;O004;20;62;60;78;75;48;Non prioritaire;;HACCP|Plantes medicinales|Sechage|Traçabilite;2026-06-20
M003;L003;O004;20;69;60;86;75;50;Moyen;;HACCP|Plantes medicinales|Sechage|Traçabilite;2026-06-20
M004;L004;O004;20;76;60;94;75;53;Moyen;;HACCP|Plantes medicinales|Sechage|Traçabilite;2026-06-20
M005;L005;O009;45;83;100;70;100;71;Recommande;Lean manufacturing;Production|Gestion stock|5S;2026-06-20
M006;L006;O011;20;90;60;78;75;55;Moyen;;Mise en page|Prepress|Branding|Impression;2026-06-20
M007;L007;O013;20;57;100;86;75;53;Moyen;;Analyse risques|Securite travail|Environnement|HACCP;2026-06-20
M008;L008;O015;20;64;60;94;75;50;Moyen;;Brancardage|Urgences|Premiers secours|Soins de base;2026-06-20
M009;L009;O016;20;71;60;70;100;52;Moyen;;Gestion exploitation|Irrigation|Fertilisation|Suivi cultures;2026-06-20
M010;L010;O018;70;78;100;78;75;78;Recommande;Lean manufacturing|Controle qualite;CAN Bus|Maintenance vehicule;2026-06-20
M011;L011;O020;20;85;60;86;75;54;Moyen;;Topographie|Securite chantier|Lecture plans|AutoCAD;2026-06-20
M012;L012;O022;20;92;100;94;75;63;Moyen;;Maintenance industrielle|Production|Lean manufacturing|Gestion stock;2026-06-20
M013;L013;O013;20;59;60;70;100;49;Non prioritaire;;Analyse risques|Securite travail|Environnement|HACCP;2026-06-20
M014;L014;O016;95;66;100;78;75;85;Tres recommande;Gestion exploitation|Irrigation|Fertilisation;Suivi cultures;2026-06-20
M015;L015;O017;20;73;60;86;75;51;Moyen;;Conditionnement|HACCP|Plantes medicinales|Sechage;2026-06-20
M016;L016;O020;20;80;100;94;75;60;Moyen;;Topographie|Securite chantier|Lecture plans|AutoCAD;2026-06-20
M017;L017;O029;20;87;60;70;100;56;Moyen;;Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;2026-06-20
M018;L018;O020;20;94;100;78;75;62;Moyen;;Topographie|Securite chantier|Lecture plans|AutoCAD;2026-06-20
M019;L019;O022;20;61;60;86;75;48;Non prioritaire;;Maintenance industrielle|Production|Lean manufacturing|Gestion stock;2026-06-20
M020;L020;O025;20;68;100;94;75;57;Moyen;;Service client|Reception|Gestion reservations|HACCP;2026-06-20
M021;L021;O022;20;75;100;70;100;59;Moyen;;Maintenance industrielle|Production|Lean manufacturing|Gestion stock;2026-06-20
M022;L022;O033;20;82;60;78;75;53;Moyen;;Beton arme|Topographie|Securite chantier|Lecture plans;2026-06-20
M023;L023;O032;20;89;100;86;75;61;Moyen;;Psychologie enfant|Communication parentale|Accompagnement enfant|Activites prescolaires;2026-06-20
M024;L024;O030;20;56;60;94;75;48;Non prioritaire;;Controle qualite|Conditionnement|HACCP|Plantes medicinales;2026-06-20
M025;L025;O032;20;63;60;70;100;50;Moyen;;Psychologie enfant|Communication parentale|Accompagnement enfant|Activites prescolaires;2026-06-20
M026;L026;O033;20;70;100;78;75;56;Moyen;;Beton arme|Topographie|Securite chantier|Lecture plans;2026-06-20
M027;L027;O038;70;77;60;86;75;72;Recommande;Arts de table|Housekeeping;Communication|Service client;2026-06-20
M028;L028;O029;20;84;60;94;75;55;Moyen;;Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;2026-06-20
